headline,pubDate,tokens,lemmatized_tokens,source
Israel Faced a Sophisticated Attack From Iran,2024-04-14,"['Israel', 'Faced', 'a', 'Sophisticated', 'Attack', 'From', 'Iran']","['Israel', 'Faced', 'a', 'Sophisticated', 'Attack', 'From', 'Iran']",nyt
Iran’s Attacks Bring Long Shadow War With Israel Into the Open,2024-04-14,"['Iran’s', 'Attacks', 'Bring', 'Long', 'Shadow', 'War', 'With', 'Israel', 'Into', 'the', 'Open']","['Iran’s', 'Attacks', 'Bring', 'Long', 'Shadow', 'War', 'With', 'Israel', 'Into', 'the', 'Open']",nyt
What Weapons Did Israel Use to Block Iran’s Attack?,2024-04-14,"['What', 'Weapons', 'Did', 'Israel', 'Use', 'to', 'Block', 'Iran’s', 'Attack?']","['What', 'Weapons', 'Did', 'Israel', 'Use', 'to', 'Block', 'Iran’s', 'Attack?']",nyt
Biden Seeks to Head Off Escalation After Israel’s Successful Defense,2024-04-14,"['Biden', 'Seeks', 'to', 'Head', 'Off', 'Escalation', 'After', 'Israel’s', 'Successful', 'Defense']","['Biden', 'Seeks', 'to', 'Head', 'Off', 'Escalation', 'After', 'Israel’s', 'Successful', 'Defense']",nyt
Iran Attacks Israel,2024-04-14,"['Iran', 'Attacks', 'Israel']","['Iran', 'Attacks', 'Israel']",nyt
Iran’s Strikes on Israel Open a Dangerous New Chapter for Old Rivals,2024-04-14,"['Iran’s', 'Strikes', 'on', 'Israel', 'Open', 'a', 'Dangerous', 'New', 'Chapter', 'for', 'Old', 'Rivals']","['Iran’s', 'Strikes', 'on', 'Israel', 'Open', 'a', 'Dangerous', 'New', 'Chapter', 'for', 'Old', 'Rivals']",nyt
What We Know About Iran’s Attack on Israel and What Happens Next,2024-04-14,"['What', 'We', 'Know', 'About', 'Iran’s', 'Attack', 'on', 'Israel', 'and', 'What', 'Happens', 'Next']","['What', 'We', 'Know', 'About', 'Iran’s', 'Attack', 'on', 'Israel', 'and', 'What', 'Happens', 'Next']",nyt
"An Unexpected Player in Israel’s Defense: Jordan, Home to Many Palestinians",2024-04-14,"['An', 'Unexpected', 'Player', 'in', 'Israel’s', 'Defense:', 'Jordan,', 'Home', 'to', 'Many', 'Palestinians']","['An', 'Unexpected', 'Player', 'in', 'Israel’s', 'Defense:', 'Jordan,', 'Home', 'to', 'Many', 'Palestinians']",nyt
Strikes Upend Israel’s Belief About Iran’s Willingness to Fight It Directly,2024-04-14,"['Strikes', 'Upend', 'Israel’s', 'Belief', 'About', 'Iran’s', 'Willingness', 'to', 'Fight', 'It', 'Directly']","['Strikes', 'Upend', 'Israel’s', 'Belief', 'About', 'Iran’s', 'Willingness', 'to', 'Fight', 'It', 'Directly']",nyt
Iran Attack Tests Netanyahu’s Political Staying Power,2024-04-14,"['Iran', 'Attack', 'Tests', 'Netanyahu’s', 'Political', 'Staying', 'Power']","['Iran', 'Attack', 'Tests', 'Netanyahu’s', 'Political', 'Staying', 'Power']",nyt
Johnson Says the House Will Vote on an Israel Bill in the Coming Days,2024-04-14,"['Johnson', 'Says', 'the', 'House', 'Will', 'Vote', 'on', 'an', 'Israel', 'Bill', 'in', 'the', 'Coming', 'Days']","['Johnson', 'Says', 'the', 'House', 'Will', 'Vote', 'on', 'an', 'Israel', 'Bill', 'in', 'the', 'Coming', 'Days']",nyt
Iran Just Made a Big Mistake. Israel Shouldn’t Follow.,2024-04-14,"['Iran', 'Just', 'Made', 'a', 'Big', 'Mistake.', 'Israel', 'Shouldn’t', 'Follow.']","['Iran', 'Just', 'Made', 'a', 'Big', 'Mistake.', 'Israel', 'Shouldn’t', 'Follow.']",nyt
"For Israel, Revenge Should Be a Dish Served Cold",2024-04-14,"['For', 'Israel,', 'Revenge', 'Should', 'Be', 'a', 'Dish', 'Served', 'Cold']","['For', 'Israel,', 'Revenge', 'Should', 'Be', 'a', 'Dish', 'Served', 'Cold']",nyt
Monday Briefing: Israel Weighs a Response to Iran,2024-04-14,"['Monday', 'Briefing:', 'Israel', 'Weighs', 'a', 'Response', 'to', 'Iran']","['Monday', 'Briefing:', 'Israel', 'Weighs', 'a', 'Response', 'to', 'Iran']",nyt
Palestinians Trying to Return to Northern Gaza Say Israeli Troops Fired on Them,2024-04-14,"['Palestinians', 'Trying', 'to', 'Return', 'to', 'Northern', 'Gaza', 'Say', 'Israeli', 'Troops', 'Fired', 'on', 'Them']","['Palestinians', 'Trying', 'to', 'Return', 'to', 'Northern', 'Gaza', 'Say', 'Israeli', 'Troops', 'Fired', 'on', 'Them']",nyt
"After Iran’s Barrage, Israel Questions What Might Be Next for the Gaza War",2024-04-15,"['After', 'Iran’s', 'Barrage,', 'Israel', 'Questions', 'What', 'Might', 'Be', 'Next', 'for', 'the', 'Gaza', 'War']","['After', 'Iran’s', 'Barrage,', 'Israel', 'Questions', 'What', 'Might', 'Be', 'Next', 'for', 'the', 'Gaza', 'War']",nyt
A Show of Might in the Skies Over Israel,2024-04-15,"['A', 'Show', 'of', 'Might', 'in', 'the', 'Skies', 'Over', 'Israel']","['A', 'Show', 'of', 'Might', 'in', 'the', 'Skies', 'Over', 'Israel']",nyt
"Picking a Jury to Try Trump, and What’s Next for Iran and Israel",2024-04-15,"['Picking', 'a', 'Jury', 'to', 'Try', 'Trump,', 'and', 'What’s', 'Next', 'for', 'Iran', 'and', 'Israel']","['Picking', 'a', 'Jury', 'to', 'Try', 'Trump,', 'and', 'What’s', 'Next', 'for', 'Iran', 'and', 'Israel']",nyt
Iran’s Unprecedented Attack on Israel,2024-04-15,"['Iran’s', 'Unprecedented', 'Attack', 'on', 'Israel']","['Iran’s', 'Unprecedented', 'Attack', 'on', 'Israel']",nyt
Oil Markets Shrug Off Iran’s Attack on Israel,2024-04-15,"['Oil', 'Markets', 'Shrug', 'Off', 'Iran’s', 'Attack', 'on', 'Israel']","['Oil', 'Markets', 'Shrug', 'Off', 'Iran’s', 'Attack', 'on', 'Israel']",nyt
Israel’s Allies Make a Full-Court Press to Urge Restraint,2024-04-15,"['Israel’s', 'Allies', 'Make', 'a', 'Full-Court', 'Press', 'to', 'Urge', 'Restraint']","['Israel’s', 'Allies', 'Make', 'a', 'Full-Court', 'Press', 'to', 'Urge', 'Restraint']",nyt
Markets Brace for Israel’s Next Move,2024-04-15,"['Markets', 'Brace', 'for', 'Israel’s', 'Next', 'Move']","['Markets', 'Brace', 'for', 'Israel’s', 'Next', 'Move']",nyt
Israel’s Choices on Response to Iran’s Attack All Come With Risks,2024-04-15,"['Israel’s', 'Choices', 'on', 'Response', 'to', 'Iran’s', 'Attack', 'All', 'Come', 'With', 'Risks']","['Israel’s', 'Choices', 'on', 'Response', 'to', 'Iran’s', 'Attack', 'All', 'Come', 'With', 'Risks']",nyt
Keeping U.S. Power Behind Israel Will Keep Iran at Bay,2024-04-15,"['Keeping', 'U.S.', 'Power', 'Behind', 'Israel', 'Will', 'Keep', 'Iran', 'at', 'Bay']","['Keeping', 'U.S.', 'Power', 'Behind', 'Israel', 'Will', 'Keep', 'Iran', 'at', 'Bay']",nyt
"Iran’s Strike on Israel Creates Military Uncertainty, Diplomatic Opportunity",2024-04-15,"['Iran’s', 'Strike', 'on', 'Israel', 'Creates', 'Military', 'Uncertainty,', 'Diplomatic', 'Opportunity']","['Iran’s', 'Strike', 'on', 'Israel', 'Creates', 'Military', 'Uncertainty,', 'Diplomatic', 'Opportunity']",nyt
Ukraine Sees ‘Hypocrisy’ in Western Allies’ Defense of Israel,2024-04-15,"['Ukraine', 'Sees', '‘Hypocrisy’', 'in', 'Western', 'Allies’', 'Defense', 'of', 'Israel']","['Ukraine', 'Sees', '‘Hypocrisy’', 'in', 'Western', 'Allies’', 'Defense', 'of', 'Israel']",nyt
Britain’s Leaders Condemn Iran’s Attacks but Urge Israel to Show Restraint,2024-04-15,"['Britain’s', 'Leaders', 'Condemn', 'Iran’s', 'Attacks', 'but', 'Urge', 'Israel', 'to', 'Show', 'Restraint']","['Britain’s', 'Leaders', 'Condemn', 'Iran’s', 'Attacks', 'but', 'Urge', 'Israel', 'to', 'Show', 'Restraint']",nyt
Protesters Block Roads Across the U.S. to Support Those in Gaza,2024-04-15,"['Protesters', 'Block', 'Roads', 'Across', 'the', 'U.S.', 'to', 'Support', 'Those', 'in', 'Gaza']","['Protesters', 'Block', 'Roads', 'Across', 'the', 'U.S.', 'to', 'Support', 'Those', 'in', 'Gaza']",nyt
Lebanese Official Blames Israel’s Spy Agency for Killing Near Beirut,2024-04-15,"['Lebanese', 'Official', 'Blames', 'Israel’s', 'Spy', 'Agency', 'for', 'Killing', 'Near', 'Beirut']","['Lebanese', 'Official', 'Blames', 'Israel’s', 'Spy', 'Agency', 'for', 'Killing', 'Near', 'Beirut']",nyt
Johnson Says House Will Vote on Stalled Aid to Israel and Ukraine,2024-04-15,"['Johnson', 'Says', 'House', 'Will', 'Vote', 'on', 'Stalled', 'Aid', 'to', 'Israel', 'and', 'Ukraine']","['Johnson', 'Says', 'House', 'Will', 'Vote', 'on', 'Stalled', 'Aid', 'to', 'Israel', 'and', 'Ukraine']",nyt
"Israeli Settlers Kill 2 Palestinian Men in the West Bank, Officials Say",2024-04-15,"['Israeli', 'Settlers', 'Kill', '2', 'Palestinian', 'Men', 'in', 'the', 'West', 'Bank,', 'Officials', 'Say']","['Israeli', 'Settlers', 'Kill', '2', 'Palestinian', 'Men', 'in', 'the', 'West', 'Bank,', 'Officials', 'Say']",nyt
Israel Weighs Response to Iran’s Attack as Allies Push for Restraint,2024-04-16,"['Israel', 'Weighs', 'Response', 'to', 'Iran’s', 'Attack', 'as', 'Allies', 'Push', 'for', 'Restraint']","['Israel', 'Weighs', 'Response', 'to', 'Iran’s', 'Attack', 'a', 'Allies', 'Push', 'for', 'Restraint']",nyt
"Israeli Artist Shuts Biennale Show, Urging Cease-Fire and Hostage Release",2024-04-16,"['Israeli', 'Artist', 'Shuts', 'Biennale', 'Show,', 'Urging', 'Cease-Fire', 'and', 'Hostage', 'Release']","['Israeli', 'Artist', 'Shuts', 'Biennale', 'Show,', 'Urging', 'Cease-Fire', 'and', 'Hostage', 'Release']",nyt
"For Israel’s Allies, Iranian Missile Strike Scrambles Debate Over Gaza",2024-04-16,"['For', 'Israel’s', 'Allies,', 'Iranian', 'Missile', 'Strike', 'Scrambles', 'Debate', 'Over', 'Gaza']","['For', 'Israel’s', 'Allies,', 'Iranian', 'Missile', 'Strike', 'Scrambles', 'Debate', 'Over', 'Gaza']",nyt
"Weekly Student News Quiz: Israel, Abortion Law, Trial of the Century",2024-04-16,"['Weekly', 'Student', 'News', 'Quiz:', 'Israel,', 'Abortion', 'Law,', 'Trial', 'of', 'the', 'Century']","['Weekly', 'Student', 'News', 'Quiz:', 'Israel,', 'Abortion', 'Law,', 'Trial', 'of', 'the', 'Century']",nyt
U.N. Panel Says Israel Is Obstructing Its Investigation of the Oct. 7 Attack,2024-04-16,"['U.N.', 'Panel', 'Says', 'Israel', 'Is', 'Obstructing', 'Its', 'Investigation', 'of', 'the', 'Oct.', '7', 'Attack']","['U.N.', 'Panel', 'Says', 'Israel', 'Is', 'Obstructing', 'Its', 'Investigation', 'of', 'the', 'Oct.', '7', 'Attack']",nyt
Cotton Urges Citizens to Forcibly Confront Pro-Palestinian Protesters,2024-04-16,"['Cotton', 'Urges', 'Citizens', 'to', 'Forcibly', 'Confront', 'Pro-Palestinian', 'Protesters']","['Cotton', 'Urges', 'Citizens', 'to', 'Forcibly', 'Confront', 'Pro-Palestinian', 'Protesters']",nyt
"U.S. Plans New Sanctions on Iran After Attack on Israel, Officials Say",2024-04-16,"['U.S.', 'Plans', 'New', 'Sanctions', 'on', 'Iran', 'After', 'Attack', 'on', 'Israel,', 'Officials', 'Say']","['U.S.', 'Plans', 'New', 'Sanctions', 'on', 'Iran', 'After', 'Attack', 'on', 'Israel,', 'Officials', 'Say']",nyt
U.S.C. Cancels Valedictorian’s Speech After Pro-Israel Groups Object,2024-04-16,"['U.S.C.', 'Cancels', 'Valedictorian’s', 'Speech', 'After', 'Pro-Israel', 'Groups', 'Object']","['U.S.C.', 'Cancels', 'Valedictorian’s', 'Speech', 'After', 'Pro-Israel', 'Groups', 'Object']",nyt
"How to Be Pro-Palestinian, Pro-Israeli and Pro-Iranian",2024-04-16,"['How', 'to', 'Be', 'Pro-Palestinian,', 'Pro-Israeli', 'and', 'Pro-Iranian']","['How', 'to', 'Be', 'Pro-Palestinian,', 'Pro-Israeli', 'and', 'Pro-Iranian']",nyt
"Israel Weighs Response to Iran Attack, With Each Choice a Risk",2024-04-16,"['Israel', 'Weighs', 'Response', 'to', 'Iran', 'Attack,', 'With', 'Each', 'Choice', 'a', 'Risk']","['Israel', 'Weighs', 'Response', 'to', 'Iran', 'Attack,', 'With', 'Each', 'Choice', 'a', 'Risk']",nyt
"Israel ponders a response to Iran’s attack, with each choice a risk.",2024-04-17,"['Israel', 'ponders', 'a', 'response', 'to', 'Iran’s', 'attack,', 'with', 'each', 'choice', 'a', 'risk.']","['Israel', 'ponders', 'a', 'response', 'to', 'Iran’s', 'attack,', 'with', 'each', 'choice', 'a', 'risk.']",nyt
Here’s Where Israel’s Military Offensive in Gaza Stands,2024-04-17,"['Here’s', 'Where', 'Israel’s', 'Military', 'Offensive', 'in', 'Gaza', 'Stands']","['Here’s', 'Where', 'Israel’s', 'Military', 'Offensive', 'in', 'Gaza', 'Stands']",nyt
The Israeli Censorship Regime Is Growing. That Needs to Stop.,2024-04-17,"['The', 'Israeli', 'Censorship', 'Regime', 'Is', 'Growing.', 'That', 'Needs', 'to', 'Stop.']","['The', 'Israeli', 'Censorship', 'Regime', 'Is', 'Growing.', 'That', 'Needs', 'to', 'Stop.']",nyt
What to Know About the Campus Protests Over the Israel-Hamas War,2024-04-17,"['What', 'to', 'Know', 'About', 'the', 'Campus', 'Protests', 'Over', 'the', 'Israel-Hamas', 'War']","['What', 'to', 'Know', 'About', 'the', 'Campus', 'Protests', 'Over', 'the', 'Israel-Hamas', 'War']",nyt
Blinken Arrives in Italy for Talks on Israel and Ukraine at G7 Meeting,2024-04-17,"['Blinken', 'Arrives', 'in', 'Italy', 'for', 'Talks', 'on', 'Israel', 'and', 'Ukraine', 'at', 'G7', 'Meeting']","['Blinken', 'Arrives', 'in', 'Italy', 'for', 'Talks', 'on', 'Israel', 'and', 'Ukraine', 'at', 'G7', 'Meeting']",nyt
"Israel Weighs Response to Iran, and U.S. Speaker Tries to Pass Ukraine Aid",2024-04-17,"['Israel', 'Weighs', 'Response', 'to', 'Iran,', 'and', 'U.S.', 'Speaker', 'Tries', 'to', 'Pass', 'Ukraine', 'Aid']","['Israel', 'Weighs', 'Response', 'to', 'Iran,', 'and', 'U.S.', 'Speaker', 'Tries', 'to', 'Pass', 'Ukraine', 'Aid']",nyt
Netanyahu Says Israel Won’t Be Pressured Over Iran Response,2024-04-17,"['Netanyahu', 'Says', 'Israel', 'Won’t', 'Be', 'Pressured', 'Over', 'Iran', 'Response']","['Netanyahu', 'Says', 'Israel', 'Won’t', 'Be', 'Pressured', 'Over', 'Iran', 'Response']",nyt
Attack by Hezbollah Injures 14 Israeli Soldiers in Border Village,2024-04-17,"['Attack', 'by', 'Hezbollah', 'Injures', '14', 'Israeli', 'Soldiers', 'in', 'Border', 'Village']","['Attack', 'by', 'Hezbollah', 'Injures', '14', 'Israeli', 'Soldiers', 'in', 'Border', 'Village']",nyt
U.N. Report Describes Physical Abuse and Dire Conditions in Israeli Detention,2024-04-17,"['U.N.', 'Report', 'Describes', 'Physical', 'Abuse', 'and', 'Dire', 'Conditions', 'in', 'Israeli', 'Detention']","['U.N.', 'Report', 'Describes', 'Physical', 'Abuse', 'and', 'Dire', 'Conditions', 'in', 'Israeli', 'Detention']",nyt
"At Venice Biennale, Israel’s Show Is Halted, but Protests Go On",2024-04-17,"['At', 'Venice', 'Biennale,', 'Israel’s', 'Show', 'Is', 'Halted,', 'but', 'Protests', 'Go', 'On']","['At', 'Venice', 'Biennale,', 'Israel’s', 'Show', 'Is', 'Halted,', 'but', 'Protests', 'Go', 'On']",nyt
Long Lines Form Outside Reopened Bakery in Gaza City,2024-04-17,"['Long', 'Lines', 'Form', 'Outside', 'Reopened', 'Bakery', 'in', 'Gaza', 'City']","['Long', 'Lines', 'Form', 'Outside', 'Reopened', 'Bakery', 'in', 'Gaza', 'City']",nyt
Hezbollah Launches Attack on Northern Israeli Border Village,2024-04-17,"['Hezbollah', 'Launches', 'Attack', 'on', 'Northern', 'Israeli', 'Border', 'Village']","['Hezbollah', 'Launches', 'Attack', 'on', 'Northern', 'Israeli', 'Border', 'Village']",nyt
"Israeli Response to Iran Attack Seems Inevitable, Despite Allies’ Pleas",2024-04-17,"['Israeli', 'Response', 'to', 'Iran', 'Attack', 'Seems', 'Inevitable,', 'Despite', 'Allies’', 'Pleas']","['Israeli', 'Response', 'to', 'Iran', 'Attack', 'Seems', 'Inevitable,', 'Despite', 'Allies’', 'Pleas']",nyt
Thursday Briefing: Israel Seems Poised to Retaliate,2024-04-17,"['Thursday', 'Briefing:', 'Israel', 'Seems', 'Poised', 'to', 'Retaliate']","['Thursday', 'Briefing:', 'Israel', 'Seems', 'Poised', 'to', 'Retaliate']",nyt
Israel Signaled That It Would Retaliate Against Iran,2024-04-17,"['Israel', 'Signaled', 'That', 'It', 'Would', 'Retaliate', 'Against', 'Iran']","['Israel', 'Signaled', 'That', 'It', 'Would', 'Retaliate', 'Against', 'Iran']",nyt
Miscalculation Led to Escalation in Clash Between Israel and Iran,2024-04-17,"['Miscalculation', 'Led', 'to', 'Escalation', 'in', 'Clash', 'Between', 'Israel', 'and', 'Iran']","['Miscalculation', 'Led', 'to', 'Escalation', 'in', 'Clash', 'Between', 'Israel', 'and', 'Iran']",nyt
House Moves Toward Bundling TikTok Bill With Aid to Ukraine and Israel,2024-04-18,"['House', 'Moves', 'Toward', 'Bundling', 'TikTok', 'Bill', 'With', 'Aid', 'to', 'Ukraine', 'and', 'Israel']","['House', 'Moves', 'Toward', 'Bundling', 'TikTok', 'Bill', 'With', 'Aid', 'to', 'Ukraine', 'and', 'Israel']",nyt
Google Fires 28 Employees Involved in Protest of Israeli Cloud Contract,2024-04-18,"['Google', 'Fires', '28', 'Employees', 'Involved', 'in', 'Protest', 'of', 'Israeli', 'Cloud', 'Contract']","['Google', 'Fires', '28', 'Employees', 'Involved', 'in', 'Protest', 'of', 'Israeli', 'Cloud', 'Contract']",nyt
War in Gaza Causes Surprising Rift Within Japanese American Group,2024-04-18,"['War', 'in', 'Gaza', 'Causes', 'Surprising', 'Rift', 'Within', 'Japanese', 'American', 'Group']","['War', 'in', 'Gaza', 'Causes', 'Surprising', 'Rift', 'Within', 'Japanese', 'American', 'Group']",nyt
They Graduated Into Gaza’s War. What Happened to Them?,2024-04-18,"['They', 'Graduated', 'Into', 'Gaza’s', 'War.', 'What', 'Happened', 'to', 'Them?']","['They', 'Graduated', 'Into', 'Gaza’s', 'War.', 'What', 'Happened', 'to', 'Them?']",nyt
An Uneasy Arab-Israeli Alliance,2024-04-18,"['An', 'Uneasy', 'Arab-Israeli', 'Alliance']","['An', 'Uneasy', 'Arab-Israeli', 'Alliance']",nyt
Qatar Says It Is Reviewing Its Mediator Role as Israel-Hamas Talks Stall,2024-04-18,"['Qatar', 'Says', 'It', 'Is', 'Reviewing', 'Its', 'Mediator', 'Role', 'as', 'Israel-Hamas', 'Talks', 'Stall']","['Qatar', 'Says', 'It', 'Is', 'Reviewing', 'Its', 'Mediator', 'Role', 'a', 'Israel-Hamas', 'Talks', 'Stall']",nyt
How Israel’s Conflicts Could Escalate,2024-04-18,"['How', 'Israel’s', 'Conflicts', 'Could', 'Escalate']","['How', 'Israel’s', 'Conflicts', 'Could', 'Escalate']",nyt
Over 100 Arrested at Columbia After Pro-Palestinian Protest,2024-04-18,"['Over', '100', 'Arrested', 'at', 'Columbia', 'After', 'Pro-Palestinian', 'Protest']","['Over', '100', 'Arrested', 'at', 'Columbia', 'After', 'Pro-Palestinian', 'Protest']",nyt
C.I.A. Director Blames Hamas for Stalled Peace Talks,2024-04-18,"['C.I.A.', 'Director', 'Blames', 'Hamas', 'for', 'Stalled', 'Peace', 'Talks']","['C.I.A.', 'Director', 'Blames', 'Hamas', 'for', 'Stalled', 'Peace', 'Talks']",nyt
U.S. Vetoes Palestinian Bid for Recognition as Full U.N. Member State,2024-04-18,"['U.S.', 'Vetoes', 'Palestinian', 'Bid', 'for', 'Recognition', 'as', 'Full', 'U.N.', 'Member', 'State']","['U.S.', 'Vetoes', 'Palestinian', 'Bid', 'for', 'Recognition', 'a', 'Full', 'U.N.', 'Member', 'State']",nyt
Republicans Wanted a Crackdown on Israel’s Critics. Columbia Obliged.,2024-04-18,"['Republicans', 'Wanted', 'a', 'Crackdown', 'on', 'Israel’s', 'Critics.', 'Columbia', 'Obliged.']","['Republicans', 'Wanted', 'a', 'Crackdown', 'on', 'Israel’s', 'Critics.', 'Columbia', 'Obliged.']",nyt
"U.S. and Allies Penalize Iran for Striking Israel, and Try to Avert War",2024-04-18,"['U.S.', 'and', 'Allies', 'Penalize', 'Iran', 'for', 'Striking', 'Israel,', 'and', 'Try', 'to', 'Avert', 'War']","['U.S.', 'and', 'Allies', 'Penalize', 'Iran', 'for', 'Striking', 'Israel,', 'and', 'Try', 'to', 'Avert', 'War']",nyt
Muted Initial Response to Strike Suggests Iran and Israel Want to Avoid Escalation,2024-04-19,"['Muted', 'Initial', 'Response', 'to', 'Strike', 'Suggests', 'Iran', 'and', 'Israel', 'Want', 'to', 'Avoid', 'Escalation']","['Muted', 'Initial', 'Response', 'to', 'Strike', 'Suggests', 'Iran', 'and', 'Israel', 'Want', 'to', 'Avoid', 'Escalation']",nyt
What We Know About Israel’s Strike in Iran,2024-04-19,"['What', 'We', 'Know', 'About', 'Israel’s', 'Strike', 'in', 'Iran']","['What', 'We', 'Know', 'About', 'Israel’s', 'Strike', 'in', 'Iran']",nyt
"Israel Strikes Iran, and the Trump Trial Gets a Jury",2024-04-19,"['Israel', 'Strikes', 'Iran,', 'and', 'the', 'Trump', 'Trial', 'Gets', 'a', 'Jury']","['Israel', 'Strikes', 'Iran,', 'and', 'the', 'Trump', 'Trial', 'Gets', 'a', 'Jury']",nyt
"Israel’s Strike Was Smaller Than Expected, and So Was Iran’s Reaction",2024-04-19,"['Israel’s', 'Strike', 'Was', 'Smaller', 'Than', 'Expected,', 'and', 'So', 'Was', 'Iran’s', 'Reaction']","['Israel’s', 'Strike', 'Was', 'Smaller', 'Than', 'Expected,', 'and', 'So', 'Was', 'Iran’s', 'Reaction']",nyt
"Thomas Friedman on Iran, Israel and Preventing a ‘Forever War’",2024-04-19,"['Thomas', 'Friedman', 'on', 'Iran,', 'Israel', 'and', 'Preventing', 'a', '‘Forever', 'War’']","['Thomas', 'Friedman', 'on', 'Iran,', 'Israel', 'and', 'Preventing', 'a', '‘Forever', 'War’']",nyt
Israel Has Used Exploding Drones in Previous Attacks on Iran,2024-04-19,"['Israel', 'Has', 'Used', 'Exploding', 'Drones', 'in', 'Previous', 'Attacks', 'on', 'Iran']","['Israel', 'Has', 'Used', 'Exploding', 'Drones', 'in', 'Previous', 'Attacks', 'on', 'Iran']",nyt
Columbia University Arrests Student Pro-Palestinian Protesters,2024-04-19,"['Columbia', 'University', 'Arrests', 'Student', 'Pro-Palestinian', 'Protesters']","['Columbia', 'University', 'Arrests', 'Student', 'Pro-Palestinian', 'Protesters']",nyt
Shadow War Between Iran and Israel: A Timeline,2024-04-19,"['Shadow', 'War', 'Between', 'Iran', 'and', 'Israel:', 'A', 'Timeline']","['Shadow', 'War', 'Between', 'Iran', 'and', 'Israel:', 'A', 'Timeline']",nyt
Campus Turmoil: The Gaza Protests at Columbia,2024-04-19,"['Campus', 'Turmoil:', 'The', 'Gaza', 'Protests', 'at', 'Columbia']","['Campus', 'Turmoil:', 'The', 'Gaza', 'Protests', 'at', 'Columbia']",nyt
"Israel Launched Missiles as Well as Drones at Iran, Officials Say",2024-04-19,"['Israel', 'Launched', 'Missiles', 'as', 'Well', 'as', 'Drones', 'at', 'Iran,', 'Officials', 'Say']","['Israel', 'Launched', 'Missiles', 'a', 'Well', 'a', 'Drones', 'at', 'Iran,', 'Officials', 'Say']",nyt
"Rough Seas for Blinken and Co. as Israel, Iran and Ukraine Cloud G7 Meeting",2024-04-19,"['Rough', 'Seas', 'for', 'Blinken', 'and', 'Co.', 'as', 'Israel,', 'Iran', 'and', 'Ukraine', 'Cloud', 'G7', 'Meeting']","['Rough', 'Seas', 'for', 'Blinken', 'and', 'Co.', 'a', 'Israel,', 'Iran', 'and', 'Ukraine', 'Cloud', 'G7', 'Meeting']",nyt
Liberal Democrats Urge ‘No’ Vote on Israel Aid to Pressure Biden on Gaza,2024-04-19,"['Liberal', 'Democrats', 'Urge', '‘No’', 'Vote', 'on', 'Israel', 'Aid', 'to', 'Pressure', 'Biden', 'on', 'Gaza']","['Liberal', 'Democrats', 'Urge', '‘No’', 'Vote', 'on', 'Israel', 'Aid', 'to', 'Pressure', 'Biden', 'on', 'Gaza']",nyt
Israel’s Strike on Iran: A Limited Attack but a Potentially Big Signal,2024-04-19,"['Israel’s', 'Strike', 'on', 'Iran:', 'A', 'Limited', 'Attack', 'but', 'a', 'Potentially', 'Big', 'Signal']","['Israel’s', 'Strike', 'on', 'Iran:', 'A', 'Limited', 'Attack', 'but', 'a', 'Potentially', 'Big', 'Signal']",nyt
"Israel Strikes an Iranian Military Base, but Damage Appears Limited",2024-04-20,"['Israel', 'Strikes', 'an', 'Iranian', 'Military', 'Base,', 'but', 'Damage', 'Appears', 'Limited']","['Israel', 'Strikes', 'an', 'Iranian', 'Military', 'Base,', 'but', 'Damage', 'Appears', 'Limited']",nyt
"House Approves $95 Billion Aid Bill for Ukraine, Israel and Taiwan",2024-04-20,"['House', 'Approves', '$95', 'Billion', 'Aid', 'Bill', 'for', 'Ukraine,', 'Israel', 'and', 'Taiwan']","['House', 'Approves', '$95', 'Billion', 'Aid', 'Bill', 'for', 'Ukraine,', 'Israel', 'and', 'Taiwan']",nyt
Strike Was Meant to Show Iran that Israel Could Paralyze Its Defenses,2024-04-20,"['Strike', 'Was', 'Meant', 'to', 'Show', 'Iran', 'that', 'Israel', 'Could', 'Paralyze', 'Its', 'Defenses']","['Strike', 'Was', 'Meant', 'to', 'Show', 'Iran', 'that', 'Israel', 'Could', 'Paralyze', 'Its', 'Defenses']",nyt
Deadly Israeli Airstrikes Again Hit Rafah,2024-04-20,"['Deadly', 'Israeli', 'Airstrikes', 'Again', 'Hit', 'Rafah']","['Deadly', 'Israeli', 'Airstrikes', 'Again', 'Hit', 'Rafah']",nyt
Fears Over Iran Buoy Netanyahu at Home. For Now.,2024-04-20,"['Fears', 'Over', 'Iran', 'Buoy', 'Netanyahu', 'at', 'Home.', 'For', 'Now.']","['Fears', 'Over', 'Iran', 'Buoy', 'Netanyahu', 'at', 'Home.', 'For', 'Now.']",nyt
"How the House Voted on Foreign Aid to Ukraine, Israel and Taiwan",2024-04-20,"['How', 'the', 'House', 'Voted', 'on', 'Foreign', 'Aid', 'to', 'Ukraine,', 'Israel', 'and', 'Taiwan']","['How', 'the', 'House', 'Voted', 'on', 'Foreign', 'Aid', 'to', 'Ukraine,', 'Israel', 'and', 'Taiwan']",nyt
Israel’s Strike on Iran Highlights Its Ability to Evade Tehran’s Air Defenses,2024-04-20,"['Israel’s', 'Strike', 'on', 'Iran', 'Highlights', 'Its', 'Ability', 'to', 'Evade', 'Tehran’s', 'Air', 'Defenses']","['Israel’s', 'Strike', 'on', 'Iran', 'Highlights', 'Its', 'Ability', 'to', 'Evade', 'Tehran’s', 'Air', 'Defenses']",nyt
